seed,shape,alg,uniq,pal,harm,triad,cons,scale,poly,score
1ramhypz,petal,7,2,12,88%,100%,81%,100%,100%,0.741
5yqf8kh9,hex,7,3,12,95%,100%,86%,100%,100%,0.723
9r0tk4ms,star,7,3,12,95%,100%,97%,100%,67%,0.718
qkgmx1rh,petal,7,3,12,95%,100%,97%,100%,67%,0.718
9z7prvws,hex,7,3,12,95%,100%,97%,100%,67%,0.718
ckxy5dg1,triangle,7,3,12,94%,100%,94%,100%,67%,0.711
n0cwwfwv,coil,7,2,12,82%,67%,85%,100%,100%,0.702
pawn8ixi,coil,7,3,12,92%,100%,94%,100%,100%,0.702
006x73po,circle,7,3,12,91%,100%,88%,100%,67%,0.693
fdntblj1,arc,7,3,12,91%,100%,99%,100%,67%,0.692
j5jcrcar,loop,7,3,12,91%,100%,86%,100%,67%,0.69
flxd40x1,wave,7,3,12,91%,100%,86%,100%,67%,0.69
dqatpond,burst,7,3,12,91%,100%,97%,100%,67%,0.689
x347yw3n,wave,7,3,12,90%,100%,88%,100%,100%,0.685
gjfn68wu,circle,7,3,12,90%,100%,76%,100%,100%,0.684
cfqhy98l,loop,7,3,12,91%,100%,99%,100%,67%,0.684
pwwblbxh,petal,7,3,12,90%,100%,94%,100%,67%,0.682
0c15t8kd,circle,7,3,12,90%,100%,94%,100%,67%,0.682
d8r8dhpd,triangle,7,3,12,90%,100%,86%,100%,100%,0.68
6qyj58ca,burst,7,3,12,89%,100%,82%,100%,67%,0.679
54rbazlz,coil,7,3,12,89%,67%,94%,100%,100%,0.678
phkabg4f,wave,7,3,12,89%,100%,81%,100%,67%,0.675
m1vd476l,square,7,3,12,90%,100%,94%,100%,67%,0.673
fdodr07i,triangle,7,3,12,88%,67%,91%,100%,100%,0.671
8b92w388,ring,7,3,12,89%,100%,85%,100%,100%,0.67
1k0fv1o3,circle,7,3,12,88%,100%,97%,100%,33%,0.669
hl0rtnq1,petal,7,3,12,88%,100%,97%,100%,33%,0.669
0d3yyr96,ring,7,3,12,88%,100%,97%,100%,33%,0.669
8edrxcy5,burst,7,3,12,88%,100%,97%,100%,33%,0.669
q327ocjk,petal,7,3,12,88%,100%,70%,100%,100%,0.669
3uye8g4v,wave,7,3,12,88%,67%,90%,100%,100%,0.669
jjpqyl0l,petal,7,3,12,88%,100%,97%,100%,33%,0.669
1z1eeufr,triangle,7,3,12,88%,100%,89%,100%,67%,0.667
x82c1kqc,wave,7,3,12,88%,100%,89%,100%,67%,0.667
ckmuijqn,square,7,3,12,88%,100%,89%,100%,67%,0.667
0o6g9znu,ring,7,3,12,88%,100%,89%,100%,67%,0.667
jqpl9lhp,square,7,3,12,89%,100%,81%,100%,67%,0.667
xoiymboi,hex,7,3,12,88%,100%,64%,100%,100%,0.666
op0b8imj,hex,7,3,12,87%,100%,88%,100%,67%,0.664
rgolwz65,arc,2,3,12,87%,67%,94%,100%,67%,0.661
3tzsobaq,star,7,3,12,87%,67%,94%,100%,67%,0.661
y7ayz1pe,ring,7,3,12,87%,67%,98%,100%,100%,0.661
t8jbj96h,hex,7,3,12,87%,67%,85%,100%,100%,0.657
1re4tbo0,burst,7,3,12,87%,67%,85%,100%,100%,0.657
awqzas0y,ring,7,3,12,86%,67%,96%,100%,100%,0.656
kl1mv4ii,burst,7,3,12,86%,67%,96%,100%,100%,0.656
xg9a7zd8,square,7,3,12,86%,100%,92%,100%,33%,0.655
4ts6stwn,ring,7,3,12,86%,100%,92%,100%,33%,0.655
x1n07c48,hex,7,3,12,86%,67%,92%,100%,67%,0.654
3uh19ptt,burst,7,3,12,86%,67%,92%,100%,67%,0.654
ttv67utb,petal,7,3,12,86%,67%,92%,100%,67%,0.654
3earbqce,wave,7,3,12,86%,67%,92%,100%,67%,0.654
pk0ekxnl,arc,7,3,12,86%,100%,83%,100%,67%,0.653
xruariuu,square,7,2,12,76%,33%,85%,100%,100%,0.652
67pogkrc,coil,7,3,12,86%,100%,82%,100%,67%,0.65
re59ieny,wave,7,3,12,86%,100%,82%,100%,67%,0.65
mmi7fmll,hex,7,3,12,86%,100%,82%,100%,67%,0.65
38oep0un,coil,7,3,12,85%,100%,62%,100%,100%,0.648
7a1usyiw,circle,7,3,12,85%,67%,89%,100%,67%,0.647
4c0abxwn,square,7,3,12,85%,67%,89%,100%,67%,0.647
mpbee96b,hex,7,3,12,85%,100%,61%,100%,100%,0.646
reigdw5v,wave,7,3,12,86%,100%,92%,100%,33%,0.646
onh8b8jy,petal,7,3,12,85%,67%,92%,100%,100%,0.645
ljjofp0z,petal,7,3,12,85%,67%,81%,100%,100%,0.645
r8fqm4uj,triangle,7,3,12,86%,67%,83%,100%,100%,0.644
xe356ukc,petal,7,3,12,85%,67%,88%,100%,67%,0.643
0c9vrjtc,square,7,3,12,85%,67%,99%,100%,67%,0.642
0nso4ir3,star,7,3,12,85%,67%,99%,100%,67%,0.642
w2qjy9hf,loop,7,3,12,85%,67%,99%,100%,67%,0.642
7ebwlh3g,coil,7,3,12,85%,67%,99%,100%,67%,0.642
wgrn1l6p,coil,7,3,12,86%,100%,82%,100%,67%,0.641
uqqfxmzf,triangle,7,3,12,84%,100%,86%,100%,33%,0.64
gtstcy86,circle,7,3,12,84%,100%,86%,100%,33%,0.64
15f47nmc,star,7,3,12,84%,67%,86%,100%,67%,0.64
tvqc50po,star,7,3,12,84%,67%,86%,100%,67%,0.64
ucma54ey,circle,7,3,12,84%,67%,97%,100%,67%,0.639
0wea69wm,triangle,7,3,12,84%,67%,97%,100%,67%,0.639
iyuq5wg6,loop,7,3,12,84%,100%,69%,100%,100%,0.638
u334e1wf,hex,7,3,12,84%,100%,76%,100%,67%,0.636
fyau3kkw,circle,7,3,12,84%,67%,96%,100%,67%,0.635
v6e3ovdt,wave,7,3,12,84%,67%,96%,100%,67%,0.635
9vw1x102,circle,7,2,12,73%,67%,58%,100%,100%,0.635
9ew4fjcc,petal,7,2,12,73%,67%,88%,75%,100%,0.634
f9opm993,arc,7,2,12,73%,67%,88%,75%,100%,0.634
hlas6hqa,square,7,3,12,83%,67%,83%,100%,67%,0.633
85dg8fut,triangle,7,3,12,83%,67%,83%,100%,67%,0.633
6u4q33g2,hex,7,3,12,84%,100%,86%,100%,33%,0.632
7xkm6jz4,wave,7,3,12,83%,67%,94%,100%,67%,0.632
kzox5rta,hex,7,3,12,83%,67%,94%,100%,67%,0.632
9qxkgkvh,loop,7,3,12,83%,67%,94%,100%,67%,0.632
fa1d9nir,circle,7,3,12,83%,67%,94%,100%,67%,0.632
k6s7sdn7,burst,7,3,12,84%,100%,78%,100%,67%,0.631
gy8onkbd,wave,7,3,12,83%,67%,75%,100%,100%,0.631
qzm6k9ts,loop,7,3,12,84%,67%,86%,100%,67%,0.631
yrqkq5kv,arc,7,3,12,83%,67%,69%,100%,100%,0.63
rahiectv,loop,7,2,12,73%,67%,97%,75%,50%,0.629
ctpqc5ic,hex,7,2,12,73%,67%,97%,75%,50%,0.629
s44qh58g,ring,7,3,12,83%,100%,66%,100%,100%,0.628
twv0juzy,ring,7,3,12,84%,67%,85%,100%,67%,0.628
on6i7bj1,burst,7,3,12,83%,67%,93%,100%,67%,0.628