User,Spots Allocated,BTC Address
Kongsy,1,bc1pzw7p6zjkjyqykld0ld7hh7rvdhrxn4eylc0l6awxk3le3tqd6sxsgnyxly
Kongsy,1,34pHPXmdS1rjRVbGfTB28JdBgpXW5e2ViM
Bil,30,WAITING
@not__jas,1,bc1prupzf6z4a79nlhe7s29z6v74z267tenpc57955lhgl5a39qutvzsg3qyug
@not__jas,1,bc1pa50gjn9qffavtwd637fx3n42dyrumr2fy77ptxeh9het5mfgzx6sh4c76w
@not__jas,1,bc1p9sscyygq62nd5mu2wz72v3tced8n2n2me4jgc66jv540sacu9vzsswc403
@not__jas,1,bc1pqlleswd0a4plm59rrydfud37ejt2erawuy9jm48c2mu7z58u7jcq0wuf6d
@not__jas,1,bc1paklume2x37dm8eqwshvcsty0wdcddkwt42nyh8yxsd3q0exvt6usk7pup3
@not__jas,1,bc1pe29q4nm6d7wps5lwy7pwye5nr0awfpx9ekgnvc2ymj99lf6mhz2stgzswt
Uncle Nicky,1,bc1pcmces39gn8lp6gyfu0a5xlnq66dgmwyrcv3wm2xym7y2nrve7r0qz30p7t
@richirokez,1,bc1pxqu0fpf805vakkhmm72f8gn06vy882xua4rjnvsz8z4ff6cvdaesnmrufq
@leti_skot,1,bc1p49x6dgdhrgjnkffj8pwatt82whapdd7yakawv2hpvufw7huwszxqt7vd7d
@SoninWoody,1,bc1phvh8lzxmrl0e9h8u6s2wjvtvxy84y3y95jvvwrxv4r420zn0xkrska3qhg
@Maxim24Dzuba,1,bc1p9h9gh2tdh3rg38sflfj5e267ew5z74r3kefnpq0rx9hanprcrtdq4dm9sf
@kitenokbtc,1,bc1pdpx2uemp6pus9y0xmttzjg3frm4l93dxlxf256w7llu9hn5a0eqqk7xcqq
@eriksonBTC,30,WAITING
@_NyteLyte_,1,bc1pe3t5j3hnpq6zgahfr4lydq4u620tpjmhc2svxphgmw94yke6nsaql60sx6
@OnlineGameBAYC,1,bc1px2rtrn4yvdcll40tku6mqjz9eyfsjk8p5kdjwqkpaduqy62mr46skzqzuw
@Akinsola06,1,bc1pd02dpmy0cnte4vy4tzhpd5azvgmuxj90kkcen44a5gp8jn9dwcrsw6w563
@pizzamark22,1,bc1pwa9rvnex3mdjy2q3fu3g2kxe9jllgf2xg7a0zp0z275cwgenctysrj5jjw
@pizzamark22,1,bc1p39f9pnwrsxt9m5l83emcfjra75nyjygclmfywx6mky6xyjy0ztmqr607mg
@pizzamark22,1,bc1px54a4z2pzf0gxsxq0ufrtcjxe0uywvwf7crqd5pwk5jzyecwknyq7ulz4x
@pizzamark22,1,bc1pzyzlxd3sru0ykaczjms4nsyn5eqgtjd0sfxxlf07j0d9ca8n69xqmlrp0v
@pizzamark22,1,bc1pvsh6xxucg2aa8mxf55fygr2lxynfazfzq0rsnffpewycrgv3wfwsxa3t8w
@FreeGonchar,1,bc1p72glp5ftjn3f3ygu5n3v5ym2pnsxjejk6wu5vtk09uprpzvnprsqr44znj
@eth_stonny,1,bc1p6njrff2l9smcy4fdwf2tumakhpqmn3cu9d2p54vjpnf7gj2ze7xsax9wp5
@EC01578,1,bc1plhrhv3ad8hzfgt7hu4xzp33g6sgg0lklfva9p5nw0ez5nxcf2k2slxtpvt
@Crav3hu66,1,bc1pnw8wxznmpl5djnw3lr69k394tuy0jdgvgqdz9s7uuhnlszg4rvps6huxhd
Crav3hu66,5,WAITING
@darhtch,5,WAITING
@ssheyii,10,WAITING
@Web3Dolphin,1,bc1q3wxx38k6attyfeut3rwswrucs9wshqsrxjcfmv
@Web3Dolphin,1,bc1pfplqkg36udrdx86ejddvn4zxpf2ea9vsuzed0ef46wh7xhdq6reqdc9add
@Web3Dolphin,1,bc1py0anu3r4np3zdgadsajxmpk7wz3lknujlgs34gurnjxzlp7hnv6q6whzgw
@Web3Dolphin,1,bc1p57udtmd3x72w78ha5adt3rqm8d347vn8zrewta84r3zpdxakhensay7jnx
@Web3Dolphin,1,bc1pzs77sd98a7uptfypj6g3xczxpl47uhme7h7v3j3xuk4na5hjzudsz3guk5
@0x_sse,1,bc1pf6v99052qvl3knmfdrjlwm3mtphjp7dzvf5jvf3fzflhraedyxpsla7ya3
@OfficerMubby,1,bc1p99a3ul7q7uf33r2fhm96k890vpkeayyjt90tt7zsu7l7l3shg97sf4sqgl
@realMMac,1,bc1p8dzlfymglds78vgtpphw7tghcmnkn2cgh70vxv8k309zsj3mhujqqjp5r8
@realMMac,5,WAITING
@Mart07Alex,1,bc1p02hlq0r7ma0lg4m0stufyqlrmc3w06qu8n6usm066qgkzclwjz3sqtcp8j
@Mart07Alex,1,bc1pt534har2stj3avt9p8sshd7fln536lug9lsy2f0tagz5yw2w8yjqzgt9jh
@Mart07Alex,1,bc1ptjs2l69xdvajqkcuyn7vanae4th048vld2xwfzpv6et9hfgetxesv6l2lk
@Mart07Alex,1,bc1ptwg3044wlzj8kgpw6dngfv7f46cpt0fws2xd8ygapned5pu987csvnlkx6
@Mart07Alex,1,bc1plcrcypv2rmfusfatpl2keluwpc5fpsan96dsfma22cndz9xy346q2hytua
@Mart07Alex,1,bc1p0ls8ms8wp6l9k6s6vj2jjjwche3hvrdgu20xvtsdrj7as0dfk3vs6hg0ru
@Mart07Alex,1,bc1p50hrzvhn2rncd726dlh4zsnptde9q2h99faslq2h7pvcgdvjxdsqn7ukuw
@Mart07Alex,1,bc1p8zffhy25emzs4ax5wfdaddcn765kkftz4sz4et4psepyjr83r5ksn0zvlj
@Mart07Alex,1,bc1p6zac38rws2mrcafy39jky698yea8wwmp2jpzp739dr6x0an0gvdqncmnsu
@Mart07Alex,1,bc1pfgwxath0mh0smdf08ejg44r9wxj2smr68gddyrth3s00c92eh47qf67auv
@Lholar000,5,WAITING
@BlvckGrok,1,bc1pqt268zyka7uc4a8ylyl408gyhfhsrn52df448zafgdhxrv0fskms67uzq6
@BlvckGrok,3,WAITING
@lovedavisman,1,bc1pv3e3ewq0k7alsts4aqcex0cxuvz3us3ycd5lym4t76gmfs5d55wqgl8h87
@keneh22,8,WAITING
@sholaax_,1,bc1pwkkedf3yvsafqp22gpzdg8ltfq7z2p704lafla0f93pdcjpkcqgqxcfpms
@sholaax_,1,bc1phku0r7nu3xeaagvkuuhtg3ky00gtz8et7dlzx5lmu2w7y4lqufsqfdt4r5
@sholaax_,1,bc1pnyqltfvxd97m7yupvex3fcty5tz2pxsefql76jv2kfelhnye93ds36a6v7
@sholaax_,1,bc1p8dp9w9fxvyfdlrpveq4lsm0qds7da96z0grxwrktfth57kqakf4smamepw
@sholaax_,1,bc1p98wk09ya8asmjdtvkhl0u0zunkcse0kv4dkxvkckfdrux4ccn6est7x5ea
@sholaax_,1,bc1p8tc7nmzhx7svta6y3nl42xdrryz4d8dgaux29gsyvvrfmxd6ezpsnsljgq
@sholaax_,1,bc1pxzrtzpx22dwcgdvsd98zt6f0k6sq2y5c85qr5lg6c9sqrj0aqauqsrp5up
@sholaax_,1,bc1p4lmjfwzx8dtp0zclwugsd3q0wxs3f6a7pahl3fg2l9ym42a76jyqjfjejc
@sholaax_,1,bc1p3fyn2ysn6tjzhheujv4ezm2jyd8qy407y4utrryzc9zussk88mnsf44tkv
@sholaax_,1,bc1pctqz2zhmah0xp8f5re9fhevtc6ht0gfnrsum3w92uan2smaxd25qg95uuh
@ajjeee__,1,bc1pym0dr4wq0exzsmqrveryh4f7r4l2egxlkv7hvm4g9r4clks600vqwptawf
@Odinallfather07,1,bc1p5uwdg2k7jgkhhjwr29697d7qg0d4v96u2mq285z67n3zlx5mx79sxvf75c
@babybigiff,1,bc1pum0rnnhrxuw0qu92khpyprlhxm3tmna33lklurtcsddftu3w7ljsy49mkn
@akubnb,1,bc1pgtmgayxrd88w84h7l8ek80gylkuvgptntptcfraqwu6sa52na89szrmq63
@thay0rr,1,bc1phuve78wwpmu89a98jjd5mum0ugeer9m5xgxt5vxg6g7wvlrnts9qfp2x9e
@purelydegen_,10,WAITING
@arm_btc,15,WAITING
@jaybee4q,1,bc1p442nd7w9xeq5yapr2v6sf84gse5te9x7uc4jpm4x6456lqencqhsn0n648
@PeluisGold_jr,5,WAITING
@Laaskidi,1,bc1p5m63f9qra8xv09ythx28ca24pqqjelpgdrvehq6fpr0f9c8jtpdswlrtdp
@Hiensberg059,10,WAITING
@i_joeking,1,bc1pavn5em6rm9r603rsq26aznvgamtmudgmaw05hhzhp3akc9l92fpqtpzmdu
@i_joeking,1,bc1pywevn5s7r47xk49u09vz59f0wyjnd5mvceyh0vrut6mvc23whueqdt90le
@i_joeking,1,bc1pk20quu9u9uluuapae7met57hhracdenjsequ4lh2qgdul693u7tsglp7mg
@makaiBTC,10,WAITING
@Davidomosebi2,1,bc1pxjpsj4u4ye7rxt8gffvpvy8yyzedw68mhf9mdgj56uz9wfw7058shxlr23
@_thepublisher,1,bc1pwazlhkwyftlk4hv90pvp87jgcqarusdw4wzkzvn8wrketn2yuhzqnranh5
@OwlLfg,1,bc1pv76y3x098pqrrksyewn4shyktg6whrg50nvqzgjvjk3ld74g0z5stzhg40
@OwlLfg,1,bc1psxtk4esj0y774qfwm8tgmlx2awc37qw782rxnen90ugurehavpcsp583jj
@OwlLfg,1,bc1p0p28fqk7zpxr4had8jzjn0eg97yfy5epk2m4qr7jug675afc7n5q5lamer
@OwlLfg,1,bc1puxe3472r43arfvqt5cycph03mqunahnv64xgfgv08td35xvy77hstwhesm
@OwlLfg,1,bc1pwzlf474xyu26jps5x4k949t62ysd6pn0h04lyflhqyqhkgvl2cvsd865pa
@OwlLfg,1,bc1puyhppm043gt66qagk6fthk0hafptlayy2ruuxl7azdc3gjx362eqlz8kwz
@OwlLfg,1,bc1pt34k7qgngsncf776eg78qcm03ve4230qqlcz877rvvpcu90v8xqsse3mht
@OwlLfg,1,bc1pqkgazazt83663ggqrx0ld5h63zeklynrjxvqxve878l2lpzm8wrqshxjmw
@OwlLfg,1,bc1p0ls8ms8wp6l9k6s6vj2jjjwche3hvrdgu20xvtsdrj7as0dfk3vs6hg0ru
@OwlLfg,1,bc1pwkvjau67yzgfm0nsdf8het77y3kyrqdsjhvdem0q8nu3tdy9svsszl8fr0
@OwlLfg,1,bc1p5zuskfdx6s04g9889zrg4ewcaclre3duqghp3wq2kvfque9yv9gq5xy8ch
@OwlLfg,1,bc1pvwfw58rm5jnjnaqaxzdv7hluued2wvnnsqglytjumvvgm9z7vp9srg07ud
@OwlLfg,1,bc1pf2a740urex5l8m38yfz3xw57w0vpz2uks4yw0dk3erzfjkweh8lqsx9s5p
@OwlLfg,1,bc1pag4dxgp3lkv87l228alekytc86r67sdm0qs7sp8d0wt99qq60tvsjkh9wr
@OwlLfg,1,bc1pnsnmg99t2hzrc2f35xzcppc5d984q7lrd8q32eahhw2nlmuck48s7wcg4h
@OwlLfg,1,bc1p7t8sphjupnq6423anrmlt8a30l2krhncte6vw8ud46wjyawues6sxjzwhl
@OwlLfg,1,bc1pgjcu3xpke9ljyhj5qfzylfxxfmzzegqkfhmdeeqkv5jsfe79lejsc0jc4w
@OwlLfg,1,bc1pau9vduahjfpy3x6x87ex3u39ylsnvxkquytz2au6cxec288f0u6qquzkk6
@OwlLfg,1,bc1pzztrq27lpt7vpydzn7ddegy8smhp09mkgd6srlclssqkgcynpm7szzuf8x
@OwlLfg,1,bc1pvxeszsh54vje9rq8nxd8znpgee2l2hqvw9kwzuxp5mj8dewrjxus2vk9pg
@inc_300,1,bc1pys9q0mu3usm540u9d8z6k8yjtkjd9ers67r3pp5tplvsydmdyz7qjdtrg3
@ChickenLil77,1,bc1pdn7jy9cwgt6trxvp7m073p2fquyd7tgx57m85pah2hvyfsz4ytuq6af9gj
@jibraatka666,1,bc1pwp2vzpt73cth4sn6pl0rlry6nh8kr6kle2nshjttvakxdc7df9esvsf9ax
,
,
Total Whitelist Spaces,256,
,
Addresses Submitted,92,
Waiting for Addresses,156,
Unassigned,8,