file,syncPoints
ai-hum-1.webm,"[{'at': 0.059, 'fadeIn': 0.0, 'fadeOut': 0.259}, {'at': 0.941, 'fadeIn': 0.741, 'fadeOut': 1.141}, {'at': 1.441, 'fadeIn': 1.241, 'fadeOut': 1.641}, {'at': 2.059, 'fadeIn': 1.859, 'fadeOut': 2.259}, {'at': 2.559, 'fadeIn': 2.359, 'fadeOut': 2.759}]"
broadcast-start-1.webm,"[{'at': 0.497, 'fadeIn': 0.297, 'fadeOut': 0.697}, {'at': 0.997, 'fadeIn': 0.797, 'fadeOut': 1.197}, {'at': 1.5, 'fadeIn': 1.3, 'fadeOut': 1.5}]"
collider-sound.mp3,"[{'at': 0.026, 'fadeIn': 0.024, 'fadeOut': 0.222}, {'at': 1.654, 'fadeIn': 1.454, 'fadeOut': 1.854}, {'at': 4.225, 'fadeIn': 4.027, 'fadeOut': 4.23}, {'at': 15.59, 'fadeIn': 15.588, 'fadeOut': 15.79}, {'at': 17.239, 'fadeIn': 17.039, 'fadeOut': 17.439}, {'at': 17.862, 'fadeIn': 17.662, 'fadeOut': 18.062}, {'at': 19.856, 'fadeIn': 19.658, 'fadeOut': 19.857}, {'at': 22.069, 'fadeIn': 22.007, 'fadeOut': 22.269}, {'at': 22.592, 'fadeIn': 22.392, 'fadeOut': 22.792}, {'at': 23.276, 'fadeIn': 23.076, 'fadeOut': 23.476}]"
collider-sounds.mp3,"[{'at': 0.029, 'fadeIn': 0.025, 'fadeOut': 0.229}, {'at': 1.656, 'fadeIn': 1.456, 'fadeOut': 1.856}, {'at': 4.227, 'fadeIn': 4.027, 'fadeOut': 4.232}, {'at': 15.593, 'fadeIn': 15.591, 'fadeOut': 15.793}, {'at': 17.241, 'fadeIn': 17.041, 'fadeOut': 17.441}, {'at': 17.864, 'fadeIn': 17.664, 'fadeOut': 18.064}, {'at': 19.858, 'fadeIn': 19.66, 'fadeOut': 19.859}, {'at': 22.041, 'fadeIn': 22.009, 'fadeOut': 22.241}, {'at': 22.547, 'fadeIn': 22.347, 'fadeOut': 22.747}, {'at': 23.278, 'fadeIn': 23.078, 'fadeOut': 23.478}]"
data-chatter-1.webm,"[{'at': 0.012, 'fadeIn': 0.007, 'fadeOut': 0.212}, {'at': 0.597, 'fadeIn': 0.397, 'fadeOut': 0.797}, {'at': 1.098, 'fadeIn': 0.898, 'fadeOut': 1.289}, {'at': 1.617, 'fadeIn': 1.417, 'fadeOut': 1.817}]"
digital-ping-1.webm,"[{'at': 0.0, 'fadeIn': 0.0, 'fadeOut': 0.105}]"
digital-ping-2.webm,"[{'at': 0.115, 'fadeIn': 0.0, 'fadeOut': 0.205}]"
digital-ping-3.webm,"[{'at': 0.0, 'fadeIn': 0.0, 'fadeOut': 0.15}]"
particle-stream-1.webm,"[{'at': 0.032, 'fadeIn': 0.0, 'fadeOut': 0.232}, {'at': 0.537, 'fadeIn': 0.337, 'fadeOut': 0.737}, {'at': 1.268, 'fadeIn': 1.068, 'fadeOut': 1.468}, {'at': 1.877, 'fadeIn': 1.677, 'fadeOut': 2.077}, {'at': 2.495, 'fadeIn': 2.295, 'fadeOut': 2.695}, {'at': 3.135, 'fadeIn': 2.935, 'fadeOut': 3.335}, {'at': 3.784, 'fadeIn': 3.584, 'fadeOut': 3.984}, {'at': 4.763, 'fadeIn': 4.563, 'fadeOut': 4.963}, {'at': 5.338, 'fadeIn': 5.138, 'fadeOut': 5.538}, {'at': 6.093, 'fadeIn': 5.893, 'fadeOut': 6.293}]"
particle-stream-2.webm,"[{'at': 0.218, 'fadeIn': 0.018, 'fadeOut': 0.418}, {'at': 0.887, 'fadeIn': 0.687, 'fadeOut': 1.087}, {'at': 1.718, 'fadeIn': 1.518, 'fadeOut': 1.918}, {'at': 2.309, 'fadeIn': 2.109, 'fadeOut': 2.509}, {'at': 2.884, 'fadeIn': 2.684, 'fadeOut': 3.084}, {'at': 3.467, 'fadeIn': 3.267, 'fadeOut': 3.667}, {'at': 4.199, 'fadeIn': 3.999, 'fadeOut': 4.399}, {'at': 4.898, 'fadeIn': 4.698, 'fadeOut': 5.098}, {'at': 5.449, 'fadeIn': 5.249, 'fadeOut': 5.649}, {'at': 6.298, 'fadeIn': 6.098, 'fadeOut': 6.498}]"
particle-stream-3.webm,"[{'at': 0.181, 'fadeIn': 0.0, 'fadeOut': 0.381}, {'at': 0.692, 'fadeIn': 0.492, 'fadeOut': 0.892}, {'at': 1.222, 'fadeIn': 1.022, 'fadeOut': 1.422}, {'at': 1.753, 'fadeIn': 1.553, 'fadeOut': 1.953}, {'at': 2.34, 'fadeIn': 2.14, 'fadeOut': 2.54}, {'at': 2.963, 'fadeIn': 2.763, 'fadeOut': 3.163}, {'at': 3.523, 'fadeIn': 3.323, 'fadeOut': 3.723}, {'at': 4.227, 'fadeIn': 4.027, 'fadeOut': 4.427}, {'at': 4.749, 'fadeIn': 4.549, 'fadeOut': 4.949}, {'at': 5.431, 'fadeIn': 5.231, 'fadeOut': 5.631}]"
particle-strike-1.webm,"[{'at': 0.43, 'fadeIn': 0.23, 'fadeOut': 0.63}, {'at': 1.037, 'fadeIn': 0.837, 'fadeOut': 1.237}, {'at': 3.001, 'fadeIn': 2.801, 'fadeOut': 3.007}]"
particle-strike-2.webm,"[{'at': 0.002, 'fadeIn': 0.0, 'fadeOut': 0.202}, {'at': 1.65, 'fadeIn': 1.45, 'fadeOut': 1.85}, {'at': 2.273, 'fadeIn': 2.073, 'fadeOut': 2.473}, {'at': 3.142, 'fadeIn': 2.942, 'fadeOut': 3.342}, {'at': 4.267, 'fadeIn': 4.069, 'fadeOut': 4.27}]"
particle-strike-3.webm,"[{'at': 0.007, 'fadeIn': 0.0, 'fadeOut': 0.205}, {'at': 1.596, 'fadeIn': 1.396, 'fadeOut': 1.796}, {'at': 2.214, 'fadeIn': 2.014, 'fadeOut': 2.414}, {'at': 4.203, 'fadeIn': 4.02, 'fadeOut': 4.209}]"
particle-strike-4.webm,"[{'at': 0.002, 'fadeIn': 0.0, 'fadeOut': 0.202}, {'at': 1.626, 'fadeIn': 1.426, 'fadeOut': 1.826}, {'at': 2.271, 'fadeIn': 2.071, 'fadeOut': 2.471}, {'at': 2.825, 'fadeIn': 2.625, 'fadeOut': 3.025}, {'at': 4.22, 'fadeIn': 4.021, 'fadeOut': 4.272}]"
particle-strike-5.webm,"[{'at': 0.004, 'fadeIn': 0.0, 'fadeOut': 0.204}, {'at': 1.674, 'fadeIn': 1.474, 'fadeOut': 1.874}, {'at': 2.254, 'fadeIn': 2.054, 'fadeOut': 2.454}, {'at': 4.2, 'fadeIn': 4.001, 'fadeOut': 4.223}]"
particle-strike-6.webm,"[{'at': 0.003, 'fadeIn': 0.0, 'fadeOut': 0.203}]"
particle-strike-7.webm,"[{'at': 0.002, 'fadeIn': 0.0, 'fadeOut': 0.202}, {'at': 1.642, 'fadeIn': 1.442, 'fadeOut': 1.842}, {'at': 2.226, 'fadeIn': 2.026, 'fadeOut': 2.426}, {'at': 2.841, 'fadeIn': 2.641, 'fadeOut': 3.041}, {'at': 3.411, 'fadeIn': 3.211, 'fadeOut': 3.611}, {'at': 4.239, 'fadeIn': 4.039, 'fadeOut': 4.279}]"
